PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
10107,20070131,MSFT,MICROSOFT CORP,30.86,13390496,0.03349
10107,20070228,MSFT,MICROSOFT CORP,28.17,13007733,-0.083927
10107,20070330,MSFT,MICROSOFT CORP,27.87,12832900,-0.01065
10107,20070430,MSFT,MICROSOFT CORP,29.94,9676052,0.074273
10107,20070531,MSFT,MICROSOFT CORP,30.6901,13176580,0.028393
10107,20070629,MSFT,MICROSOFT CORP,29.47,11884314,-0.039756
10107,20070731,MSFT,MICROSOFT CORP,28.99,13008446,-0.016288
10107,20070831,MSFT,MICROSOFT CORP,28.73,12397224,-0.005519
10107,20070928,MSFT,MICROSOFT CORP,29.46,11168623,0.025409
10107,20071031,MSFT,MICROSOFT CORP,36.81,17744802,0.249491
10107,20071130,MSFT,MICROSOFT CORP,33.6,18330717,-0.084216
10107,20071231,MSFT,MICROSOFT CORP,35.6,10700171,0.059524
10107,20080131,MSFT,MICROSOFT CORP,32.6,19530535,-0.08427
10107,20080229,MSFT,MICROSOFT CORP,27.1999,23258303,-0.162273
10107,20080331,MSFT,MICROSOFT CORP,28.38,14572915,0.043386
10107,20080430,MSFT,MICROSOFT CORP,28.52,14480582,0.004933
10107,20080530,MSFT,MICROSOFT CORP,28.32,14084270,-0.003156
10107,20080630,MSFT,MICROSOFT CORP,27.51,15648014,-0.028602
10107,20080731,MSFT,MICROSOFT CORP,25.72,16420967,-0.065067
10107,20080829,MSFT,MICROSOFT CORP,27.29,12083088,0.065319
10107,20080930,MSFT,MICROSOFT CORP,26.69,19299651,-0.021986
10107,20081031,MSFT,MICROSOFT CORP,22.33,30441987,-0.163357
10107,20081128,MSFT,MICROSOFT CORP,20.22,17985595,-0.08867
10107,20081231,MSFT,MICROSOFT CORP,19.44,15442392,-0.038576
10107,20090130,MSFT,MICROSOFT CORP,17.1,15618965,-0.12037
10107,20090227,MSFT,MICROSOFT CORP,16.15,14630937,-0.047953
10107,20090331,MSFT,MICROSOFT CORP,18.37,16364071,0.137461
10107,20090430,MSFT,MICROSOFT CORP,20.26,15703150,0.102885
10107,20090529,MSFT,MICROSOFT CORP,20.89,11077166,0.037512
10107,20090630,MSFT,MICROSOFT CORP,23.77,14184830,0.137865
10107,20090731,MSFT,MICROSOFT CORP,23.52,15253854,-0.010517
10107,20090831,MSFT,MICROSOFT CORP,24.65,10003985,0.053571
10107,20090930,MSFT,MICROSOFT CORP,25.72,10433262,0.043408
10107,20091030,MSFT,MICROSOFT CORP,27.73,15277741,0.078149
10107,20091130,MSFT,MICROSOFT CORP,29.41,10236442,0.065272
10107,20091231,MSFT,MICROSOFT CORP,30.48,9238424,0.036382
10107,20100129,MSFT,MICROSOFT CORP,28.18,13640561,-0.075459
10107,20100226,MSFT,MICROSOFT CORP,28.67,10779015,0.022001
10107,20100331,MSFT,MICROSOFT CORP,29.2875,11181446,0.021538
10107,20100430,MSFT,MICROSOFT CORP,30.535,13259805,0.042595
10107,20100528,MSFT,MICROSOFT CORP,25.8,17259734,-0.150811
10107,20100630,MSFT,MICROSOFT CORP,23.01,16793127,-0.10814
10107,20100730,MSFT,MICROSOFT CORP,25.81,14132280,0.121686
10107,20100831,MSFT,MICROSOFT CORP,23.465,12827745,-0.085819
10107,20100930,MSFT,MICROSOFT CORP,24.49,12779695,0.043682
10107,20101029,MSFT,MICROSOFT CORP,26.665,12854487,0.088812
10107,20101130,MSFT,MICROSOFT CORP,25.2575,14174423,-0.046784
10107,20101231,MSFT,MICROSOFT CORP,27.91,10367260,0.105018
10107,20110131,MSFT,MICROSOFT CORP,27.725,13658100,-0.006628
10107,20110228,MSFT,MICROSOFT CORP,26.58,11176358,-0.035528
10107,20110331,MSFT,MICROSOFT CORP,25.39,13148095,-0.044771
10107,20110429,MSFT,MICROSOFT CORP,25.92,13175516,0.020874
10107,20110531,MSFT,MICROSOFT CORP,25.01,13677186,-0.028935
10107,20110630,MSFT,MICROSOFT CORP,26,13005667,0.039584
10107,20110729,MSFT,MICROSOFT CORP,27.4,12628983,0.053846
10107,20110831,MSFT,MICROSOFT CORP,26.6,17248617,-0.023358
10107,20110930,MSFT,MICROSOFT CORP,24.89,12834491,-0.064286
10107,20111031,MSFT,MICROSOFT CORP,26.63,12223185,0.069908
10107,20111130,MSFT,MICROSOFT CORP,25.58,10497537,-0.031919
10107,20111230,MSFT,MICROSOFT CORP,25.96,10098074,0.014855
10107,20120131,MSFT,MICROSOFT CORP,29.53,13601072,0.137519
10107,20120229,MSFT,MICROSOFT CORP,31.74,9870347,0.081612
